"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000000003",747.194195359907,-0.350703020686589,0.168245681332903,-2.08446967499072,0.0371174658436988,0.163034808643509,"TSPAN6"
"ENSG00000000005",0,NA,NA,NA,NA,NA,"TNMD"
"ENSG00000000419",520.134160051965,0.206107766417874,0.101059218008481,2.03947517583776,0.0414026263009679,0.17603166488093,"DPM1"
"ENSG00000000457",322.664843927049,0.0245269479387461,0.145145067649738,0.168982303952169,0.865810560624016,0.961694238404893,"SCYL3"
"ENSG00000000460",87.682625164828,-0.147142049222083,0.257007253995456,-0.572520996721302,0.566969065259218,0.81584858763974,"C1orf112"
"ENSG00000000938",0.319166568913118,-1.73228897394308,3.49360097648095,-0.495846258804286,0.620002884826012,NA,"FGR"
"ENSG00000000971",5760.14836162122,0.459281905807017,0.234311633845829,1.96013274402419,0.049980276942436,0.200944465784607,"CFH"
"ENSG00000001036",2025.39179382894,-0.228243688351357,0.125005308318604,-1.82587196832974,0.0678695494960466,0.246790954890186,"FUCA2"
"ENSG00000001084",652.173308358757,-0.253030787429104,0.20257659424,-1.249062303463,0.211642286940058,0.495030492001109,"GCLC"
"ENSG00000001167",411.684395281717,-0.533733396573775,0.228791461149344,-2.33283792101568,0.0196566535724082,0.105268747649973,"NFYA"
"ENSG00000001460",201.336569053853,-0.123556348103721,0.1611147273105,-0.766884257983469,0.443150334002238,0.730583672004098,"STPG1"
"ENSG00000001461",2918.77668675377,0.00210152395872102,0.288704344043327,0.00727915600191189,0.994192125099896,0.998014166808373,"NIPAL3"
"ENSG00000001497",539.501702816792,-0.0573211492611409,0.109341581210279,-0.524239256709711,0.6001121397801,0.837621133649531,"LAS1L"
"ENSG00000001561",115.914401421895,0.28681663820984,0.715972980502255,0.400597014161956,0.688716844327324,0.887117297133803,"ENPP4"
"ENSG00000001617",604.297522477042,-0.192202806884416,0.19869055051071,-0.967347497857255,0.333370346700473,0.639074750804527,"SEMA3F"
"ENSG00000001626",9.6724145714589,-0.286388065302273,0.58625860093462,-0.488501260102128,0.625194833387952,NA,"CFTR"
"ENSG00000001629",1826.75812135437,-0.246091165637127,0.190393072929382,-1.29254264270635,0.196169288316229,0.474446482202059,"ANKIB1"
"ENSG00000001630",979.608386428198,-0.179753249342174,0.121379855929007,-1.48091499999233,0.138629225360657,0.386406073068991,"CYP51A1"
"ENSG00000001631",848.723819299268,-0.07125502098514,0.153652803234518,-0.463740455658232,0.642833708758528,0.862101878964661,"KRIT1"
"ENSG00000002016",203.735815126675,-0.411582595769082,0.228455036442651,-1.80159125479556,0.0716097381886277,0.255785255864803,"RAD52"
"ENSG00000002079",3.06484852801131,1.0611299455254,1.77213592724289,0.598785865809018,0.549315688868312,NA,NA
"ENSG00000002330",688.667589034695,0.010324641943118,0.0964225022822024,0.107077100248867,0.914727814058482,0.976989457490716,"BAD"
